,City,Date,Country,Cloudiness,Max_temp,Pressure,Humidity,lng,lat,wind_speed
122,Cascais,2021-10-22 02:04:26,PT,0,62.47,1022,70,-9.4215,38.6979,5.01
123,Cayenne,2021-10-22 02:00:06,GF,20,82.09,1012,84,-52.3333,4.9333,3.0
124,Weligama,2021-10-22 02:04:27,LK,25,81.1,1013,79,80.4167,5.9667,5.79
125,Saint-Pierre,2021-10-22 02:04:27,RE,0,71.28,1015,65,55.4781,-21.3393,6.91
126,Mar del Plata,2021-10-22 02:04:28,AR,90,64.42,1013,77,-57.5575,-38.0023,11.5
127,Trairi,2021-10-22 02:03:55,BR,100,79.45,1011,81,-39.2689,-3.2778,9.26
128,Jiwani,2021-10-22 02:04:28,PK,0,78.24,1013,76,61.7417,25.05,4.07
129,Pisco,2021-10-22 02:04:29,PE,0,61.02,1016,82,-76.2167,-13.7,12.66
130,El Carmen,2021-10-22 02:04:29,CO,10,66.81,1014,97,-73.4478,8.5106,3.98
131,Lucapa,2021-10-22 02:04:30,AO,100,65.48,1012,99,20.7447,-8.4192,2.37
132,Yulara,2021-10-22 02:04:30,AU,0,91.24,1014,14,130.9889,-25.2406,5.75
133,Port Elizabeth,2021-10-22 02:04:30,ZA,20,63.1,1003,94,25.5701,-33.918,4.61
134,Provideniya,2021-10-22 02:04:31,RU,90,30.31,990,64,-173.3,64.3833,8.95
135,Husavik,2021-10-22 02:04:31,IS,100,30.07,1013,77,-17.3389,66.0449,7.81
136,Vindeby,2021-10-22 02:04:32,DK,100,46.33,1000,76,10.6131,55.0449,23.73
137,San Patricio,2021-10-22 02:04:32,US,15,78.84,1018,66,-97.5169,28.017,7.61
138,Clyde River,2021-10-22 02:04:32,CA,37,19.4,1020,83,-68.5914,70.4692,6.31
139,Carnarvon,2021-10-22 02:04:33,AU,0,75.27,1020,46,113.6333,-24.8667,18.41
140,Bluff,2021-10-22 02:04:33,NZ,1,53.33,1031,66,168.3333,-46.6,11.45
141,Berlevåg,2021-10-22 02:04:34,NO,100,34.97,994,59,29.0864,70.8578,24.4
142,Piaçabuçu,2021-10-22 02:04:34,BR,9,77.92,1013,89,-36.4344,-10.4056,10.27
143,Tasiilaq,2021-10-22 02:04:35,GL,99,35.76,1004,70,-37.6368,65.6145,5.66
144,Dikson,2021-10-22 02:04:35,RU,99,22.68,1005,74,80.5464,73.5069,9.78
145,Valdez,2021-10-22 02:04:35,EC,100,77.49,1014,84,-78.9831,1.2492,10.6
146,Norman Wells,2021-10-22 02:04:36,CA,6,30.94,1001,84,-126.8329,65.282,6.85
147,Jinka,2021-10-22 02:04:36,ET,70,62.4,1014,79,36.65,5.65,2.55
148,Severo-Kuril'sk,2021-10-22 02:04:36,RU,99,39.7,1014,65,156.125,50.6789,9.69
149,Havelock,2021-10-22 02:04:37,US,100,73.94,1019,81,-76.9013,34.8791,3.0
150,Kautokeino,2021-10-22 02:04:37,NO,100,26.69,989,96,23.0412,69.0125,21.05
151,Teguise,2021-10-22 02:04:37,ES,35,68.22,1019,83,-13.564,29.0605,4.61
152,Viedma,2021-10-22 02:00:29,AR,41,50.4,1015,69,-62.9967,-40.8135,11.14
153,Goderich,2021-10-22 02:00:09,CA,100,51.91,1009,88,-81.7165,43.7501,22.66
154,Hithadhoo,2021-10-22 02:04:38,MV,97,81.81,1013,73,73.0833,-0.6,7.47
155,Piancó,2021-10-22 02:04:38,BR,99,81.34,1012,62,-37.9292,-7.1981,11.27
156,Nanortalik,2021-10-22 02:04:38,GL,100,42.01,991,57,-45.2371,60.1432,10.74
157,Inírida,2021-10-22 02:04:39,CO,100,73.27,1013,99,-67.9239,3.8653,3.4
158,Arraial do Cabo,2021-10-22 02:04:39,BR,97,66.79,1017,68,-42.0278,-22.9661,5.97
159,Vila Velha,2021-10-22 02:00:33,BR,96,68.45,1017,83,-40.2925,-20.3297,7.34
160,Hong Kong,2021-10-22 02:04:40,HK,100,68.25,1020,81,114.1577,22.2855,1.01
161,Vila Franca do Campo,2021-10-22 02:04:40,PT,99,61.21,1028,74,-25.4333,37.7167,4.65
162,Ternate,2021-10-22 02:04:40,ID,100,84.18,1011,70,127.4,0.8,2.35
163,Kununurra,2021-10-22 02:04:41,AU,95,94.98,1010,59,128.7333,-15.7667,4.61
164,Baykit,2021-10-22 02:04:41,RU,100,35.53,1011,86,96.37,61.67,3.2
165,Hilo,2021-10-22 02:03:31,US,4,79.29,1016,78,-155.09,19.7297,3.0
166,Caravelas,2021-10-22 02:04:42,BR,100,72.7,1015,89,-39.2481,-17.7125,9.35
167,Tuatapere,2021-10-22 02:04:42,NZ,0,63.32,1030,46,167.6833,-46.1333,5.32
168,Kahului,2021-10-22 02:04:42,US,40,82.42,1015,73,-156.47,20.8947,19.57
169,Tiksi,2021-10-22 02:04:43,RU,100,8.69,1005,93,128.8694,71.6872,8.59
170,Port Hedland,2021-10-22 02:00:05,AU,0,95.05,1013,13,118.5667,-20.3167,18.41
171,Bengkulu,2021-10-22 02:04:43,ID,100,79.38,1014,81,102.2655,-3.8004,0.67
172,Khatanga,2021-10-22 02:04:44,RU,98,-4.36,1006,100,102.5,71.9667,4.61
173,Port Said,2021-10-22 02:04:44,EG,37,73.71,1019,60,32.2841,31.2565,10.98
174,Te Anau,2021-10-22 02:04:45,NZ,14,62.35,1029,51,167.7167,-45.4167,2.35
175,Bījār,2021-10-22 02:04:45,IR,0,36.93,1027,84,47.6051,35.8668,3.69
176,Rafrāf,2021-10-22 02:04:45,TN,100,68.31,1015,64,10.1837,37.1904,7.38
177,Katsuura,2021-10-22 02:04:46,JP,100,55.42,1015,90,140.3,35.1333,16.82
178,Vuktyl,2021-10-22 02:04:46,RU,100,30.15,988,95,57.3094,63.8567,11.21
179,Mt. Pleasant,2021-10-22 01:59:52,US,1,72.0,1019,85,-79.8626,32.7941,3.0
180,Meulaboh,2021-10-22 02:04:47,ID,82,78.84,1013,86,96.1285,4.1363,3.06
181,San Cristobal,2021-10-22 02:04:47,VE,41,68.18,1017,98,-72.225,7.7669,1.92
